"Var1","Var2","Var3","Var4","Var5","Var6","Var7","Var8","Var9","Var10"
136,655,1,0.424,0.007,1.313,0.219,0.01,0,0
55,645,0,0.412,0.019,0.157,0.167,0.014,0,1
55,645,0,0.418,0.016,0.14,0.165,0.011,0,1
22,680,1,0.418,0.017,0.168,0.167,0.011,0,1
27,685,1,0.411,0.015,0.151,0.162,0.008,0,1
22,680,1,0.418,0.016,0.14,0.165,0.011,0,1
70,645,0,0.412,0.012,0.153,0.165,0.008,0,1
150,680,0,0.44,0.01,0.12,0.232,0.013,0,1
70,645,0,0.437,0.013,0.19,0.162,0.009,0,1
75,635,0,0.431,0.017,0.179,0.169,0.011,0,1
60,575,1,0.309,0.008,1.847,0.321,0.01,0,0
37,655,1,0.421,0.014,0.147,0.223,0.011,0,1
37,655,1,0.421,0.014,0.147,0.223,0.011,0,1
52,680,1,0.402,0.012,1.422,0.224,0.009,0,0
52,680,1,0.402,0.012,1.422,0.224,0.009,0,0
80,675,1,0.402,0.012,1.422,0.224,0.009,0,0
80,675,1,0.402,0.012,1.422,0.224,0.009,0,0
120,680,0,0.41,0.014,0.139,0.165,0.014,0,1
35,655,1,0.417,0.021,0.142,0.167,0.01,0,1
35,655,1,0.417,0.021,0.142,0.167,0.01,0,1
35,655,1,0.409,0.01,0.134,0.219,0.01,0,1
35,655,1,0.409,0.01,0.134,0.219,0.01,0,1
24,630,1,0.369,0.012,0.112,0.265,0.004,0,0
24,630,1,0.369,0.012,0.112,0.265,0.004,0,0
140,680,0,0.424,0.02,0.189,0.164,0.011,0,1
40,565,1,0.254,0.008,0.11,0.218,0.013,0,1
40,565,1,0.254,0.008,0.11,0.218,0.013,0,1
40,565,1,0.254,0.008,0.11,0.218,0.013,0,1
40,565,1,0.254,0.008,0.11,0.218,0.013,0,1
55,640,0,0.255,0.01,0.194,0.22,0.012,0,1
55,640,0,0.255,0.01,0.194,0.22,0.012,0,1
55,640,0,0.255,0.01,0.194,0.22,0.012,0,1
55,640,0,0.255,0.01,0.194,0.22,0.012,0,1
40,585,1,0.411,0.015,0.151,0.162,0.008,0,1
40,585,1,0.411,0.015,0.151,0.162,0.008,0,1
40,585,1,0.411,0.015,0.151,0.162,0.008,0,1
40,585,1,0.411,0.015,0.151,0.162,0.008,0,1
130,680,0,0.406,0.017,0.188,0.165,0.017,0,1
24,630,1,0.36,0.011,0.096,0.273,0.006,0,0
24,630,1,0.36,0.011,0.096,0.273,0.006,0,0
32,610,1,0.36,0.011,0.096,0.273,0.006,0,0
32,610,1,0.36,0.011,0.096,0.273,0.006,0,0
32,610,1,0.36,0.011,0.096,0.273,0.006,0,0
32,610,1,0.36,0.011,0.096,0.273,0.006,0,0
55,665,1,0.415,0.011,0.194,0.268,0.011,0,1
55,665,1,0.415,0.011,0.194,0.268,0.011,0,1
37,655,1,0.409,0.01,0.134,0.219,0.01,0,1
37,655,1,0.409,0.01,0.134,0.219,0.01,0,1
37,655,1,0.421,0.014,0.147,0.223,0.011,0,1
37,655,1,0.421,0.014,0.147,0.223,0.011,0,1
35,655,1,0.409,0.013,0.194,0.216,0.011,0,1
35,655,1,0.409,0.013,0.194,0.216,0.011,0,1
37,655,1,0.409,0.01,0.134,0.219,0.01,0,1
37,655,1,0.409,0.01,0.134,0.219,0.01,0,1
37,655,1,0.421,0.014,0.147,0.223,0.011,0,1
37,655,1,0.421,0.014,0.147,0.223,0.011,0,1
75,635,0,0.428,0.015,0.134,0.169,0.009,0,1
42,685,1,0.41,0.015,0.173,0.172,0.01,0,1
44,640,1,0.411,0.012,0.173,0.227,0.052,0,1
44,640,1,0.411,0.012,0.173,0.227,0.052,0,1
44,640,1,0.411,0.012,0.173,0.227,0.052,0,1
44,640,1,0.411,0.012,0.173,0.227,0.052,0,1
60,635,0,0.367,0.013,0.093,0.278,0.012,0,0
60,635,0,0.367,0.013,0.093,0.278,0.012,0,0
32,585,1,0.26,0.008,0.138,0.215,0.009,0,1
32,585,1,0.26,0.008,0.138,0.215,0.009,0,1
65,685,1,0.41,0.019,1.349,0.214,0.01,0,0
65,685,1,0.41,0.019,1.349,0.214,0.01,0,0
30,620,1,0.366,0.026,0.15,0.281,0.011,0,0
30,620,1,0.366,0.026,0.15,0.281,0.011,0,0
34,620,1,0.381,0.022,0.112,0.285,0.017,0,0
34,620,1,0.381,0.022,0.112,0.285,0.017,0,0
57,620,1,0.381,0.022,0.112,0.285,0.017,0,0
57,620,1,0.381,0.022,0.112,0.285,0.017,0,0
60,620,1,0.367,0.013,0.093,0.278,0.012,0,0
60,620,1,0.367,0.013,0.093,0.278,0.012,0,0
73,640,0,0.366,0.021,0.11,0.279,0.014,0,0
73,640,0,0.366,0.021,0.11,0.279,0.014,0,0
80,630,0,0.366,0.026,0.15,0.281,0.011,0,0
80,630,0,0.366,0.026,0.15,0.281,0.011,0,0
83,635,0,0.381,0.022,0.112,0.285,0.017,0,0
83,635,0,0.381,0.022,0.112,0.285,0.017,0,0
30,670,1,0.418,0.01,0.17,0.263,0.008,0,1
30,670,1,0.418,0.01,0.17,0.263,0.008,0,1
57,670,1,0.412,0.015,0.139,0.275,0.011,0,1
57,670,1,0.412,0.015,0.139,0.275,0.011,0,1
60,670,1,0.412,0.015,0.139,0.275,0.011,0,1
60,670,1,0.412,0.015,0.139,0.275,0.011,0,1
60,575,1,0.307,0.007,1.845,0.319,0.009,0,0
62,635,0,0.381,0.022,0.112,0.285,0.017,0,0
62,635,0,0.381,0.022,0.112,0.285,0.017,0,0
27,615,1,0.366,0.026,0.15,0.281,0.011,0,0
27,615,1,0.366,0.026,0.15,0.281,0.011,0,0
42,620,1,0.381,0.022,0.112,0.285,0.017,0,0
42,620,1,0.381,0.022,0.112,0.285,0.017,0,0
27,615,1,0.367,0.013,0.093,0.278,0.012,0,0
27,615,1,0.367,0.013,0.093,0.278,0.012,0,0
62,635,0,0.381,0.022,0.112,0.285,0.017,0,0
62,635,0,0.381,0.022,0.112,0.285,0.017,0,0
62,635,0,0.372,0.018,0.142,0.279,0.011,0,0
62,635,0,0.372,0.018,0.142,0.279,0.011,0,0
27,650,1,0.417,0.021,0.142,0.167,0.01,0,1
27,650,1,0.417,0.021,0.142,0.167,0.01,0,1
52,670,0,0.417,0.007,0.169,0.22,0.01,0,1
52,670,0,0.417,0.007,0.169,0.22,0.01,0,1
62,675,0,0.417,0.007,0.169,0.22,0.01,0,1
62,675,0,0.417,0.007,0.169,0.22,0.01,0,1
34,695,1,0.41,0.019,1.349,0.214,0.01,0,0
34,695,1,0.41,0.019,1.349,0.214,0.01,0,0
53,680,1,0.402,0.012,1.422,0.224,0.009,0,0
53,680,1,0.402,0.012,1.422,0.224,0.009,0,0
73,680,1,0.41,0.019,1.349,0.214,0.01,0,0
73,680,1,0.41,0.019,1.349,0.214,0.01,0,0
40,595,1,0.405,0.006,1.338,0.223,0.01,0,0
40,595,1,0.405,0.006,1.338,0.223,0.01,0,0
40,595,1,0.404,0.019,1.339,0.216,0.011,0,0
40,595,1,0.404,0.019,1.339,0.216,0.011,0,0
40,595,1,0.405,0.016,1.343,0.214,0.01,0,0
40,595,1,0.405,0.016,1.343,0.214,0.01,0,0
40,595,1,0.412,0.01,1.343,0.22,0.01,0,0
40,595,1,0.412,0.01,1.343,0.22,0.01,0,0
52,675,1,0.412,0.01,1.343,0.22,0.01,0,0
52,675,1,0.412,0.01,1.343,0.22,0.01,0,0
52,695,0,0.411,0.015,0.151,0.162,0.008,0,1
90,645,0,0.428,0.015,0.134,0.169,0.009,0,1
55,610,1,0.33,0.01,1.531,0.233,0.017,0,0
55,610,1,0.33,0.01,1.531,0.233,0.017,0,0
55,610,1,0.33,0.01,1.531,0.233,0.017,0,0
55,610,1,0.33,0.01,1.531,0.233,0.017,0,0
55,610,1,0.326,0.009,1.52,0.226,0.016,0,0
55,610,1,0.326,0.009,1.52,0.226,0.016,0,0
55,610,1,0.326,0.009,1.52,0.226,0.016,0,0
55,610,1,0.326,0.009,1.52,0.226,0.016,0,0
55,610,1,0.325,0.008,1.53,0.229,0.017,0,0
55,610,1,0.325,0.008,1.53,0.229,0.017,0,0
55,610,1,0.325,0.008,1.53,0.229,0.017,0,0
55,610,1,0.325,0.008,1.53,0.229,0.017,0,0
55,610,1,0.348,0.011,1.513,0.228,0.016,0,0
55,610,1,0.348,0.011,1.513,0.228,0.016,0,0
55,610,1,0.348,0.011,1.513,0.228,0.016,0,0
55,610,1,0.348,0.011,1.513,0.228,0.016,0,0
45,605,1,0.33,0.008,1.545,0.228,0.015,0,0
45,605,1,0.33,0.008,1.545,0.228,0.015,0,0
45,605,1,0.33,0.008,1.545,0.228,0.015,0,0
45,605,1,0.33,0.008,1.545,0.228,0.015,0,0
42,605,1,0.328,0.008,1.524,0.23,0.016,0,0
42,605,1,0.328,0.008,1.524,0.23,0.016,0,0
42,605,1,0.328,0.008,1.524,0.23,0.016,0,0
42,605,1,0.328,0.008,1.524,0.23,0.016,0,0
42,605,1,0.329,0.01,1.519,0.228,0.017,0,0
42,605,1,0.329,0.01,1.519,0.228,0.017,0,0
42,605,1,0.329,0.01,1.519,0.228,0.017,0,0
42,605,1,0.329,0.01,1.519,0.228,0.017,0,0
42,605,1,0.327,0.009,1.518,0.228,0.015,0,0
42,605,1,0.327,0.009,1.518,0.228,0.015,0,0
42,605,1,0.327,0.009,1.518,0.228,0.015,0,0
42,605,1,0.327,0.009,1.518,0.228,0.015,0,0
42,605,1,0.333,0.007,1.502,0.237,0.018,0,0
42,605,1,0.333,0.007,1.502,0.237,0.018,0,0
42,605,1,0.333,0.007,1.502,0.237,0.018,0,0
42,605,1,0.333,0.007,1.502,0.237,0.018,0,0
42,605,1,0.338,0.009,1.479,0.232,0.015,0,0
42,605,1,0.338,0.009,1.479,0.232,0.015,0,0
42,605,1,0.338,0.009,1.479,0.232,0.015,0,0
42,605,1,0.338,0.009,1.479,0.232,0.015,0,0
30,565,1,0.326,0.009,1.52,0.226,0.016,0,0
30,565,1,0.326,0.009,1.52,0.226,0.016,0,0
30,565,1,0.326,0.009,1.52,0.226,0.016,0,0
30,565,1,0.326,0.009,1.52,0.226,0.016,0,0
30,565,1,0.37,0.005,1.526,0.232,0.015,0,0
30,565,1,0.37,0.005,1.526,0.232,0.015,0,0
30,565,1,0.37,0.005,1.526,0.232,0.015,0,0
30,565,1,0.37,0.005,1.526,0.232,0.015,0,0
30,565,1,0.37,0.005,1.526,0.232,0.015,0,0
30,565,1,0.37,0.005,1.526,0.232,0.015,0,0
30,565,1,0.37,0.005,1.526,0.232,0.015,0,0
30,565,1,0.37,0.005,1.526,0.232,0.015,0,0
30,565,1,0.33,0.008,1.558,0.23,0.015,0,0
30,565,1,0.33,0.008,1.558,0.23,0.015,0,0
30,565,1,0.33,0.008,1.558,0.23,0.015,0,0
30,565,1,0.33,0.008,1.558,0.23,0.015,0,0
30,565,1,0.348,0.011,1.513,0.228,0.016,0,0
30,565,1,0.348,0.011,1.513,0.228,0.016,0,0
30,565,1,0.348,0.011,1.513,0.228,0.016,0,0
30,565,1,0.348,0.011,1.513,0.228,0.016,0,0
53,640,1,0.24,0.012,0.123,0.216,0.006,0,1
53,640,1,0.24,0.012,0.123,0.216,0.006,0,1
53,640,1,0.24,0.012,0.123,0.216,0.006,0,1
53,640,1,0.24,0.012,0.123,0.216,0.006,0,1
58,670,0,0.241,0.008,0.146,0.221,0.01,0,1
58,670,0,0.241,0.008,0.146,0.221,0.01,0,1
58,670,0,0.241,0.008,0.146,0.221,0.01,0,1
58,670,0,0.241,0.008,0.146,0.221,0.01,0,1
58,670,0,0.24,0.012,0.123,0.216,0.006,0,1
58,670,0,0.24,0.012,0.123,0.216,0.006,0,1
58,670,0,0.24,0.012,0.123,0.216,0.006,0,1
58,670,0,0.24,0.012,0.123,0.216,0.006,0,1
74,640,0,0.422,0.011,0.138,0.172,0.008,0,1
74,640,0,0.422,0.011,0.138,0.172,0.008,0,1
74,640,0,0.422,0.011,0.138,0.172,0.008,0,1
74,640,0,0.422,0.011,0.138,0.172,0.008,0,1
160,675,0,0.409,0.012,0.211,0.167,0.013,0,1
150,680,0,0.428,0.012,0.128,0.168,0.011,0,1
55,645,0,0.425,0.016,0.162,0.162,0.008,0,1
80,650,0,0.437,0.013,0.19,0.162,0.009,0,1
55,640,0,0.248,0.016,0.217,0.216,0.018,0,1
55,640,0,0.248,0.016,0.217,0.216,0.018,0,1
55,640,0,0.248,0.016,0.217,0.216,0.018,0,1
55,640,0,0.248,0.016,0.217,0.216,0.018,0,1
22,600,1,0.422,0.011,0.138,0.172,0.008,0,1
22,600,1,0.422,0.011,0.138,0.172,0.008,0,1
22,600,1,0.422,0.011,0.138,0.172,0.008,0,1
22,600,1,0.422,0.011,0.138,0.172,0.008,0,1
32,610,1,0.431,0.017,0.179,0.169,0.011,0,1
32,610,1,0.431,0.017,0.179,0.169,0.011,0,1
32,610,1,0.431,0.017,0.179,0.169,0.011,0,1
32,610,1,0.431,0.017,0.179,0.169,0.011,0,1
70,645,0,0.242,0.01,0.134,0.219,0.012,0,1
70,645,0,0.242,0.01,0.134,0.219,0.012,0,1
70,645,0,0.242,0.01,0.134,0.219,0.012,0,1
70,645,0,0.242,0.01,0.134,0.219,0.012,0,1
70,645,0,0.247,0.013,0.208,0.219,0.01,0,1
70,645,0,0.247,0.013,0.208,0.219,0.01,0,1
70,645,0,0.247,0.013,0.208,0.219,0.01,0,1
70,645,0,0.247,0.013,0.208,0.219,0.01,0,1
70,645,0,0.252,0.02,0.231,0.213,0.01,0,1
70,645,0,0.252,0.02,0.231,0.213,0.01,0,1
70,645,0,0.252,0.02,0.231,0.213,0.01,0,1
70,645,0,0.252,0.02,0.231,0.213,0.01,0,1
70,645,0,0.252,0.009,0.201,0.221,0.012,0,1
70,645,0,0.252,0.009,0.201,0.221,0.012,0,1
70,645,0,0.252,0.009,0.201,0.221,0.012,0,1
70,645,0,0.252,0.009,0.201,0.221,0.012,0,1
70,645,0,0.267,0.015,0.185,0.221,0.009,0,1
70,645,0,0.267,0.015,0.185,0.221,0.009,0,1
70,645,0,0.267,0.015,0.185,0.221,0.009,0,1
70,645,0,0.267,0.015,0.185,0.221,0.009,0,1
70,645,0,0.254,0.01,0.259,0.228,0.009,0,1
70,645,0,0.254,0.01,0.259,0.228,0.009,0,1
70,645,0,0.254,0.01,0.259,0.228,0.009,0,1
70,645,0,0.254,0.01,0.259,0.228,0.009,0,1
51,660,1,0.414,0.011,0.136,0.268,0.018,0,1
51,660,1,0.414,0.011,0.136,0.268,0.018,0,1
46,685,1,0.41,0.019,1.349,0.214,0.01,0,0
46,685,1,0.41,0.019,1.349,0.214,0.01,0,0
85,645,0,0.408,0.009,0.144,0.168,0.009,0,1
85,645,0,0.408,0.009,0.144,0.168,0.009,0,1
95,645,0,0.388,0.011,0.158,0.172,0.01,0,1
95,645,0,0.388,0.011,0.158,0.172,0.01,0,1
105,680,0,0.425,0.016,0.141,0.169,0.013,0,1
105,680,0,0.425,0.016,0.141,0.169,0.013,0,1
115,680,0,0.425,0.016,0.141,0.169,0.013,0,1
115,680,0,0.425,0.016,0.141,0.169,0.013,0,1
70,640,0,0.31,0.009,0.129,0.232,0.02,0,0
70,640,0,0.31,0.009,0.129,0.232,0.02,0,0
75,640,0,0.303,0.015,0.141,0.229,0.018,0,0
75,640,0,0.303,0.015,0.141,0.229,0.018,0,0
80,640,0,0.303,0.015,0.141,0.229,0.018,0,0
80,640,0,0.303,0.015,0.141,0.229,0.018,0,0
65,650,0,0.437,0.013,0.19,0.162,0.009,0,1
52,615,1,0.381,0.022,0.112,0.285,0.017,0,0
52,615,1,0.381,0.022,0.112,0.285,0.017,0,0
42,690,1,0.41,0.019,1.349,0.214,0.01,0,0
42,690,1,0.41,0.019,1.349,0.214,0.01,0,0
52,680,1,0.424,0.007,1.313,0.219,0.01,0,0
52,680,1,0.424,0.007,1.313,0.219,0.01,0,0
