time (s);cloudiness
5310;cloudy
5320;cloudy
5330;cloudy
5340;cloudy
5350;cloudy
5360;cloudy
5370;cloudy
5380;cloudy
5390;cloudy
5400;cloudy
5410;cloudy
5420;cloudy
5430;cloudy
5440;cloudy
5450;cloudy
5460;cloudy
5470;cloudy
5480;cloudy
5490;cloudy
5500;cloudy
5510;cloudy
5520;cloudy
5530;cloudy
5540;cloudy
5550;cloudy
5560;cloudy
5570;cloudy
5580;cloudy
5590;cloudy
5600;cloudy
5610;cloudy
5620;cloudy
5630;cloudy
5640;cloudy
5650;cloudy
5660;cloudy
5670;cloudy
5680;cloudy
5690;cloudy
5700;cloudy
5710;cloudy
5720;cloudy
5730;cloudy
5740;cloudy
5750;cloudy
5760;cloudy
5770;cloudy
5780;cloudy
5790;cloudy
5800;cloudy
5810;cloudy
5820;cloudy
5830;cloudy
5840;cloudy
5850;cloudy
5860;cloudy
5870;cloudy
5880;cloudy
5890;cloudy
5900;cloudy
5910;cloudy
5920;cloudy
5930;cloudy
5940;cloudy
5950;cloudy
5960;cloudy
5970;cloudy
5980;cloudy
5990;cloudy
6000;cloudy
6010;cloudy
6020;cloudy
6030;cloudy
6040;cloudy
6050;cloudy
6060;cloudy
6070;cloudy
6080;cloudy
6090;cloudy
6100;cloudy
6110;cloudy
6120;cloudy
6130;cloudy
6140;cloudy
6150;cloudy
6160;cloudy
6170;cloudy
6180;cloudy
6190;cloudy
6200;cloudy
6210;cloudy
6220;cloudy
6230;cloudy
6240;cloudy
6250;cloudy
6260;cloudy
6270;cloudy
6280;cloudy
6290;cloudy
6300;cloudy
6310;cloudy
6320;cloudy
6330;cloudy
6340;cloudy
6350;cloudy
6360;cloudy
6370;cloudy
6380;cloudy
6390;cloudy
6400;cloudy
6410;cloudy
6420;cloudy
6430;cloudy
6440;cloudy
6450;cloudy
6460;cloudy
6470;cloudy
6480;cloudy
6490;cloudy
6500;cloudy
6510;cloudy
6520;cloudy
6530;cloudy
6540;cloudy
6550;cloudy
6560;cloudy
6570;cloudy
6580;cloudy
6590;cloudy
6600;cloudy
6610;cloudy
6620;cloudy
6630;cloudy
6640;cloudy
6650;cloudy
6660;cloudy
6670;cloudy
6680;cloudy
6690;cloudy
6700;cloudy
6710;cloudy
6720;cloudy
6730;cloudy
6740;cloudy
6750;cloudy
6760;cloudy
6770;cloudy
6780;cloudy
6790;cloudy
6800;cloudy
6810;cloudy
6820;cloudy
6830;cloudy
6840;cloudy
6850;cloudy
6860;cloudy
6870;cloudy
6880;cloudy
6890;cloudy
6900;cloudy
6910;cloudy
6920;cloudy
6930;cloudy
6940;cloudy
6950;cloudy
6960;cloudy
6970;cloudy
6980;cloudy
6990;cloudy
7000;cloudy
7010;cloudy
7020;cloudy
7030;cloudy
7040;cloudy
7050;cloudy
7060;cloudy
7070;cloudy
7080;cloudy
7090;cloudy
7100;cloudy
7110;cloudy
7120;cloudy
7130;cloudy
7140;cloudy
7150;cloudy
7160;cloudy
7170;cloudy
7180;cloudy
7190;cloudy
7200;cloudy
7210;cloudy
7220;cloudy
7230;cloudy
7240;cloudy
7250;cloudy
7260;cloudy
7270;cloudy
7280;cloudy
7290;cloudy
7300;cloudy
7310;cloudy
7320;cloudy
7330;cloudy
7340;cloudy
7350;cloudy
7360;cloudy
7370;cloudy
7380;cloudy
7390;cloudy
7400;cloudy
7410;cloudy
7420;cloudy
7430;cloudy
7440;cloudy
7450;cloudy
7460;cloudy
7470;cloudy
7480;cloudy
7490;cloudy
7500;cloudy
7510;cloudy
7520;cloudy
7530;cloudy
7540;cloudy
7550;cloudy
7560;cloudy
7570;cloudy
7580;cloudy
7590;cloudy
7600;cloudy
7610;cloudy
7620;cloudy
7630;cloudy
7640;cloudy
7650;cloudy
7660;cloudy
7670;cloudy
7680;cloudy
7690;cloudy
7700;cloudy
7710;cloudy
7720;cloudy
7730;cloudy
7740;cloudy
7750;cloudy
7760;cloudy
7770;cloudy
7780;cloudy
7790;cloudy
7800;cloudy
7810;cloudy
7820;cloudy
7830;cloudy
7840;cloudy
7850;cloudy
7860;cloudy
7870;cloudy
7880;cloudy
7890;cloudy
7900;cloudy
7910;cloudy
7920;cloudy
7930;cloudy
7940;cloudy
7950;cloudy
7960;cloudy
7970;cloudy
7980;cloudy
7990;cloudy
8000;cloudy
8010;cloudy
8020;cloudy
8030;cloudy
8040;cloudy
8050;cloudy
8060;cloudy
8070;cloudy
8080;cloudy
8090;cloudy
8100;cloudy
8110;cloudy
8120;cloudy
8130;cloudy
8140;cloudy
8150;cloudy
8160;cloudy
8170;cloudy
8180;cloudy
8190;cloudy
8200;cloudy
8210;cloudy
8220;cloudy
8230;cloudy
8240;cloudy
8250;cloudy
8260;cloudy
8270;cloudy
8280;cloudy
8290;cloudy
8300;cloudy
8310;cloudy
8320;cloudy
8330;cloudy
8340;cloudy
8350;cloudy
8360;cloudy
8370;cloudy
8380;cloudy
8390;cloudy
8400;cloudy
8410;cloudy
8420;cloudy
8430;cloudy
8440;cloudy
8450;cloudy
8460;cloudy
8470;cloudy
8480;cloudy
8490;cloudy
8500;cloudy
8510;cloudy
8520;cloudy
8530;cloudy
8540;cloudy
8550;cloudy
8560;cloudy
8570;cloudy
8580;cloudy
8590;cloudy
8600;cloudy
8610;cloudy
8620;cloudy
8630;cloudy
8640;cloudy
8650;cloudy
8660;cloudy
8670;cloudy
8680;cloudy
8690;cloudy
8700;cloudy
8710;cloudy
8720;cloudy
8730;cloudy
8740;cloudy
8750;cloudy
8760;cloudy
8770;cloudy
8780;cloudy
8790;cloudy
8800;cloudy
8810;cloudy
8820;cloudy
8830;cloudy
8840;cloudy
8850;cloudy
8860;cloudy
8870;cloudy
8880;cloudy
8890;cloudy
8900;cloudy
8910;cloudy
8920;cloudy
8930;cloudy
8940;cloudy
8950;cloudy
8960;cloudy
8970;cloudy
8980;cloudy
8990;cloudy
9000;cloudy
9010;cloudy
9020;cloudy
9030;cloudy
9040;cloudy
9050;cloudy
9060;cloudy
9070;cloudy
9080;cloudy
9090;cloudy
9100;cloudy
9110;cloudy
9120;cloudy
9130;cloudy
9140;cloudy
9150;cloudy
9160;cloudy
9170;cloudy
9180;cloudy
9190;cloudy
9200;cloudy
9210;cloudy
9220;cloudy
9230;cloudy
9240;cloudy
9250;cloudy
9260;cloudy
9270;cloudy
9280;cloudy
9290;cloudy
9300;cloudy
9310;cloudy
9320;cloudy
9330;cloudy
9340;cloudy
9350;cloudy
9360;cloudy
9370;cloudy
9380;cloudy
9390;cloudy
9400;cloudy
9410;cloudy
9420;cloudy
9430;cloudy
9440;cloudy
9450;cloudy
9460;cloudy
9470;cloudy
9480;cloudy
9490;cloudy
9500;cloudy
9510;cloudy
9520;cloudy
9530;cloudy
9540;cloudy
9550;cloudy
9560;cloudy
9570;cloudy
9580;cloudy
9590;cloudy
9600;cloudy
9610;cloudy
9620;cloudy
9630;cloudy
9640;cloudy
9650;cloudy
9660;cloudy
9670;cloudy
9680;cloudy
9690;cloudy
9700;cloudy
9710;cloudy
9720;cloudy
9730;cloudy
9740;cloudy
9750;cloudy
9760;cloudy
9770;cloudy
9780;cloudy
9790;cloudy
9800;cloudy
9810;cloudy
9820;cloudy
9830;cloudy
9840;cloudy
9850;cloudy
9860;cloudy
9870;cloudy
9880;cloudy
9890;cloudy
9900;cloudy
9910;cloudy
9920;cloudy
9930;cloudy
9940;cloudy
9950;cloudy
9960;cloudy
9970;cloudy
9980;cloudy
9990;cloudy
10000;cloudy
10010;cloudy
10020;cloudy
10030;cloudy
10040;cloudy
10050;cloudy
10060;cloudy
10070;cloudy
10080;cloudy
10090;cloudy
10100;cloudy
10110;cloudy
10120;cloudy
10130;cloudy
10140;cloudy
10150;cloudy
10160;cloudy
10170;cloudy
10180;cloudy
10190;cloudy
10200;cloudy
10210;cloudy
10220;cloudy
10230;cloudy
10240;cloudy
10250;cloudy
10260;cloudy
10270;cloudy
10280;cloudy
10290;cloudy
10300;cloudy
10310;cloudy
10320;cloudy
10330;cloudy
10340;cloudy
10350;cloudy
10360;cloudy
10370;cloudy
10380;cloudy
10390;cloudy
10400;cloudy
10410;cloudy
10420;cloudy
10430;cloudy
10440;cloudy
10450;cloudy
10460;cloudy
10470;cloudy
10480;cloudy
10490;cloudy
10500;cloudy
10510;cloudy
10520;cloudy
10530;cloudy
10540;cloudy
10550;cloudy
10560;cloudy
10570;cloudy
10580;cloudy
10590;cloudy
10600;cloudy
10610;cloudy
10620;cloudy
10630;cloudy
10640;cloudy
10650;cloudy
10660;cloudy
10670;cloudy
10680;cloudy
10690;cloudy
10700;cloudy
10710;cloudy
10720;cloudy
10730;cloudy
10740;cloudy
10750;cloudy
10760;cloudy
10770;cloudy
10780;cloudy
10790;cloudy
10800;cloudy
10810;cloudy
10820;cloudy
10830;cloudy
10840;cloudy
10850;cloudy
10860;cloudy
10870;cloudy
10880;cloudy
10890;cloudy
10900;cloudy
10910;cloudy
10920;cloudy
10930;cloudy
10940;cloudy
10950;cloudy
10960;cloudy
10970;cloudy
10980;cloudy
10990;cloudy
11000;cloudy
11010;cloudy
11020;cloudy
11030;cloudy
11040;cloudy
11050;cloudy
11060;cloudy
11070;cloudy
11080;cloudy
11090;cloudy
11100;cloudy
11110;cloudy
11120;cloudy
11130;cloudy
11140;cloudy
11150;cloudy
11160;cloudy
11170;cloudy
11180;cloudy
11190;cloudy
11200;cloudy
11210;cloudy
11220;cloudy
11230;cloudy
11240;cloudy
11250;cloudy
11260;cloudy
11270;cloudy
11280;cloudy
11290;cloudy
11300;cloudy
11310;cloudy
11320;cloudy
11330;cloudy
11340;cloudy
11350;cloudy
11360;cloudy
11370;cloudy
11380;cloudy
11390;cloudy
11400;cloudy
11410;cloudy
11420;cloudy
11430;cloudy
11440;cloudy
11450;cloudy
11460;cloudy
11470;cloudy
11480;cloudy
11490;cloudy
11500;cloudy
11510;cloudy
11520;cloudy
11530;cloudy
11540;cloudy
11550;cloudy
11560;cloudy
11570;cloudy
11580;cloudy
11590;cloudy
11600;cloudy
11610;cloudy
11620;cloudy
11630;cloudy
11640;cloudy
11650;cloudy
11660;cloudy
11670;cloudy
11680;cloudy
11690;cloudy
11700;cloudy
11710;cloudy
11720;cloudy
11730;cloudy
11740;cloudy
11750;cloudy
11760;cloudy
11770;cloudy
11780;cloudy
11790;cloudy
11800;cloudy
11810;cloudy
11820;cloudy
11830;cloudy
11840;cloudy
11850;cloudy
11860;cloudy
11870;cloudy
11880;cloudy
11890;cloudy
11900;cloudy
11910;cloudy
11920;cloudy
11930;cloudy
11940;cloudy
11950;cloudy
11960;cloudy
11970;cloudy
11980;cloudy
11990;cloudy
12000;cloudy
12010;cloudy
12020;cloudy
12030;cloudy
12040;cloudy
12050;cloudy
12060;cloudy
12070;cloudy
12080;cloudy
12090;cloudy
12100;cloudy
12110;cloudy
12120;cloudy
12130;cloudy
12140;cloudy
12150;cloudy
12160;cloudy
12170;cloudy
12180;cloudy
12190;cloudy
12200;cloudy
12210;cloudy
12220;cloudy
12230;cloudy
12240;cloudy
12250;cloudy
12260;cloudy
12270;cloudy
12280;cloudy
12290;cloudy
12300;cloudy
12310;cloudy
12320;cloudy
12330;cloudy
12340;cloudy
12350;cloudy
12360;cloudy
12370;cloudy
12380;cloudy
12390;cloudy
12400;cloudy
12410;cloudy
12420;cloudy
12430;cloudy
12440;cloudy
12450;cloudy
12460;cloudy
12470;cloudy
12480;cloudy
12490;cloudy
12500;cloudy
12510;cloudy
12520;cloudy
12530;cloudy
12540;cloudy
12550;cloudy
12560;cloudy
12570;cloudy
12580;cloudy
12590;cloudy
12600;cloudy
12610;cloudy
12620;cloudy
12630;cloudy
12640;cloudy
12650;cloudy
12660;cloudy
12670;cloudy
12680;cloudy
12690;cloudy
12700;cloudy
12710;cloudy
12720;cloudy
12730;cloudy
12740;cloudy
12750;cloudy
12760;cloudy
12770;cloudy
12780;cloudy
12790;cloudy
12800;cloudy
12810;cloudy
12820;cloudy
12830;cloudy
12840;cloudy
12850;cloudy
12860;cloudy
12870;cloudy
12880;cloudy
12890;cloudy
12900;cloudy
12910;cloudy
12920;cloudy
12930;cloudy
12940;cloudy
12950;cloudy
12960;cloudy
12970;cloudy
12980;cloudy
12990;cloudy
13000;cloudy
13010;cloudy
13020;cloudy
13030;cloudy
13040;cloudy
13050;cloudy
13060;cloudy
13070;cloudy
13080;cloudy
13090;cloudy
13100;cloudy
13110;cloudy
13120;cloudy
13130;cloudy
13140;cloudy
13150;cloudy
13160;cloudy
13170;cloudy
13180;cloudy
13190;cloudy
13200;cloudy
13210;cloudy
13220;cloudy
13230;cloudy
13240;cloudy
13250;cloudy
13260;cloudy
13270;cloudy
13280;cloudy
13290;cloudy
13300;cloudy
13310;cloudy
13320;cloudy
13330;cloudy
13340;cloudy
13350;cloudy
13360;cloudy
13370;cloudy
13380;cloudy
13390;cloudy
13400;cloudy
13410;cloudy
13420;cloudy
13430;cloudy
13440;cloudy
13450;cloudy
13460;cloudy
13470;cloudy
13480;cloudy
13490;cloudy
13500;cloudy
13510;cloudy
13520;cloudy
13530;cloudy
13540;cloudy
13550;cloudy
13560;cloudy
13570;cloudy
13580;cloudy
13590;cloudy
13600;cloudy
13610;cloudy
13620;cloudy
13630;cloudy
13640;cloudy
13650;partly_cloudy
13660;partly_cloudy
13670;partly_cloudy
13680;partly_cloudy
13690;partly_cloudy
13700;partly_cloudy
13710;partly_cloudy
13720;partly_cloudy
13730;partly_cloudy
13740;partly_cloudy
13750;partly_cloudy
13760;partly_cloudy
13770;partly_cloudy
13780;partly_cloudy
13790;partly_cloudy
13800;partly_cloudy
13810;partly_cloudy
13820;partly_cloudy
13830;partly_cloudy
13840;partly_cloudy
13850;partly_cloudy
13860;partly_cloudy
13870;partly_cloudy
13880;partly_cloudy
13890;partly_cloudy
13900;partly_cloudy
13910;partly_cloudy
13920;partly_cloudy
13930;partly_cloudy
13940;partly_cloudy
13950;partly_cloudy
13960;partly_cloudy
13970;partly_cloudy
13980;partly_cloudy
13990;partly_cloudy
14000;partly_cloudy
14010;partly_cloudy
14020;partly_cloudy
14030;partly_cloudy
14040;partly_cloudy
14050;partly_cloudy
14060;partly_cloudy
14070;partly_cloudy
14080;partly_cloudy
14090;partly_cloudy
14100;partly_cloudy
14110;partly_cloudy
14120;partly_cloudy
14130;partly_cloudy
14140;partly_cloudy
14150;partly_cloudy
14160;partly_cloudy
14170;partly_cloudy
14180;partly_cloudy
14190;partly_cloudy
14200;partly_cloudy
14210;partly_cloudy
14220;partly_cloudy
14230;partly_cloudy
14240;partly_cloudy
14250;partly_cloudy
14260;partly_cloudy
14270;partly_cloudy
14280;partly_cloudy
14290;partly_cloudy
14300;partly_cloudy
14310;partly_cloudy
14320;partly_cloudy
14330;partly_cloudy
14340;partly_cloudy
14350;partly_cloudy
14360;partly_cloudy
14370;partly_cloudy
14380;partly_cloudy
14390;partly_cloudy
14400;partly_cloudy
14410;partly_cloudy
14420;partly_cloudy
14430;partly_cloudy
14440;partly_cloudy
14450;partly_cloudy
14460;partly_cloudy
14470;partly_cloudy
14480;partly_cloudy
14490;partly_cloudy
14500;partly_cloudy
14510;partly_cloudy
14520;partly_cloudy
14530;partly_cloudy
14540;partly_cloudy
14550;partly_cloudy
14560;partly_cloudy
14570;partly_cloudy
14580;partly_cloudy
14590;partly_cloudy
14600;partly_cloudy
14610;partly_cloudy
14620;partly_cloudy
14630;partly_cloudy
14640;partly_cloudy
14650;partly_cloudy
14660;partly_cloudy
14670;partly_cloudy
14680;partly_cloudy
14690;partly_cloudy
14700;partly_cloudy
14710;partly_cloudy
14720;partly_cloudy
14730;partly_cloudy
14740;partly_cloudy
14750;partly_cloudy
14760;partly_cloudy
14770;partly_cloudy
14780;partly_cloudy
14790;partly_cloudy
14800;partly_cloudy
14810;partly_cloudy
14820;partly_cloudy
14830;partly_cloudy
14840;partly_cloudy
14850;partly_cloudy
14860;partly_cloudy
14870;partly_cloudy
14880;partly_cloudy
14890;partly_cloudy
14900;partly_cloudy
14910;partly_cloudy
14920;partly_cloudy
14930;partly_cloudy
14940;partly_cloudy
14950;partly_cloudy
14960;partly_cloudy
14970;partly_cloudy
14980;partly_cloudy
14990;partly_cloudy
15000;partly_cloudy
15010;partly_cloudy
15020;partly_cloudy
15030;partly_cloudy
15040;partly_cloudy
15050;partly_cloudy
15060;partly_cloudy
15070;partly_cloudy
15080;partly_cloudy
15090;partly_cloudy
15100;partly_cloudy
15110;partly_cloudy
15120;partly_cloudy
15130;partly_cloudy
15140;partly_cloudy
15150;partly_cloudy
15160;partly_cloudy
15170;partly_cloudy
15180;partly_cloudy
15190;partly_cloudy
15200;partly_cloudy
15210;partly_cloudy
15220;partly_cloudy
15230;partly_cloudy
15240;partly_cloudy
15250;partly_cloudy
15260;partly_cloudy
15270;partly_cloudy
15280;partly_cloudy
15290;partly_cloudy
15300;partly_cloudy
15310;partly_cloudy
15320;partly_cloudy
15330;partly_cloudy
15340;partly_cloudy
15350;partly_cloudy
15360;partly_cloudy
15370;partly_cloudy
15380;partly_cloudy
15390;partly_cloudy
15400;partly_cloudy
15410;partly_cloudy
15420;partly_cloudy
15430;partly_cloudy
15440;partly_cloudy
15450;partly_cloudy
15460;partly_cloudy
15470;partly_cloudy
15480;partly_cloudy
15490;partly_cloudy
15500;partly_cloudy
15510;partly_cloudy
15520;partly_cloudy
15530;partly_cloudy
15540;partly_cloudy
15550;partly_cloudy
15560;partly_cloudy
15570;partly_cloudy
15580;partly_cloudy
15590;partly_cloudy
15600;partly_cloudy
15610;partly_cloudy
15620;partly_cloudy
15630;partly_cloudy
15640;partly_cloudy
15650;partly_cloudy
15660;partly_cloudy
15670;partly_cloudy
15680;partly_cloudy
15690;partly_cloudy
15700;partly_cloudy
15710;partly_cloudy
15720;partly_cloudy
15730;partly_cloudy
15740;partly_cloudy
15750;partly_cloudy
15760;partly_cloudy
15770;partly_cloudy
15780;partly_cloudy
15790;partly_cloudy
15800;partly_cloudy
15810;partly_cloudy
15820;partly_cloudy
15830;partly_cloudy
15840;partly_cloudy
15850;partly_cloudy
15860;partly_cloudy
15870;partly_cloudy
15880;partly_cloudy
15890;partly_cloudy
15900;partly_cloudy
15910;partly_cloudy
15920;partly_cloudy
15930;partly_cloudy
15940;partly_cloudy
15950;partly_cloudy
15960;partly_cloudy
15970;partly_cloudy
15980;partly_cloudy
15990;partly_cloudy
16000;partly_cloudy
16010;partly_cloudy
16020;partly_cloudy
16030;partly_cloudy
16040;partly_cloudy
16050;partly_cloudy
16060;partly_cloudy
16070;partly_cloudy
16080;partly_cloudy
16090;partly_cloudy
16100;partly_cloudy
16110;partly_cloudy
16120;partly_cloudy
16130;partly_cloudy
16140;partly_cloudy
16150;partly_cloudy
16160;partly_cloudy
16170;partly_cloudy
16180;partly_cloudy
16190;partly_cloudy
16200;partly_cloudy
16210;partly_cloudy
16220;partly_cloudy
16230;partly_cloudy
16240;partly_cloudy
16250;partly_cloudy
16260;partly_cloudy
16270;partly_cloudy
16280;partly_cloudy
16290;partly_cloudy
16300;partly_cloudy
16310;partly_cloudy
16320;partly_cloudy
16330;partly_cloudy
16340;partly_cloudy
16350;partly_cloudy
16360;partly_cloudy
16370;partly_cloudy
16380;partly_cloudy
16390;partly_cloudy
16400;partly_cloudy
16410;partly_cloudy
16420;partly_cloudy
16430;partly_cloudy
16440;partly_cloudy
16450;partly_cloudy
16460;partly_cloudy
16470;partly_cloudy
16480;partly_cloudy
16490;partly_cloudy
16500;partly_cloudy
16510;partly_cloudy
