start_time;end_time;category;description;confidence;ID;filename
10.4;10.7;29;Pressing lips;0.75;70;0500.json
11.6;12;23;Rubbing or holding hands;0.7;71;0500.json
12.1;12.6;8;Scratching or touching facial parts (mouth);0.6;72;0500.json
13.2;13.4;23;Rubbing or holding hands;0.7;73;0500.json
14.5;14.8;29;Pressing lips;0.75;74;0500.json
16.6;17.1;23;Rubbing or holding hands;0.7;75;0500.json
24.7;25;23;Rubbing or holding hands;0.7;76;0500.json
31.5;32.2;29;Pressing lips;0.75;77;0500.json
36.2;36.5;23;Rubbing or holding hands;0.7;78;0500.json
37.5;37.9;29;Pressing lips;0.75;79;0500.json
43;43.4;23;Rubbing or holding hands;0.7;80;0500.json
44.6;44.9;29;Pressing lips;0.75;81;0500.json
45.2;46;29;Pressing lips;0.75;82;0500.json
55.3;55.7;23;Rubbing or holding hands;0.7;83;0500.json
57.3;58;23;Rubbing or holding hands;0.7;84;0500.json
58;58.3;29;Pressing lips;0.75;85;0500.json
65.5;65.9;23;Rubbing or holding hands;0.7;86;0500.json
69.9;70.3;29;Pressing lips;0.75;87;0500.json
84.6;85;23;Rubbing or holding hands;0.7;88;0500.json
85.1;85.6;8;Scratching or touching facial parts (mouth);0.6;89;0500.json
98.5;98.7;29;Pressing lips;0.75;90;0500.json
14;15.4;8;Touching facial parts (nose);0.9;91;0501.json
14.7;15.3;22;Scratching arms;0.85;92;0501.json
26;38.9;99;Smiling;0.95;93;0501.json
48.7;49.2;99;Arms up (victory);0.95;94;0501.json
0.18;0.19;99;Speaker touching the neck.;0.9;95;0502.json
0.22;0.23;12;Touching the neck.;0.9;96;0502.json
0.23;0.24;12;Touching the neck.;0.9;97;0502.json
0.27;0.28;12;Touching the neck.;0.9;98;0502.json
0.28;0.29;12;Touching the neck.;0.9;99;0502.json
0.32;0.33;99;Speaker touching the neck again;0.9;100;0502.json
0.33;0.33;99;Speaker touching the neck;0.9;101;0502.json
0.34;0.35;99;Speaker touching the neck again;0.9;102;0502.json
0.41;0.41;99;Speaker touching the neck again;0.9;103;0502.json
0.45;0.46;99;Speaker touching the neck again;0.9;104;0502.json
1.12;1.13;8;Speaker touching the right cheek;0.9;105;0502.json
1.13;1.16;99;Speaker adjusting the hair.;0.9;106;0502.json
1.18;1.18;99;Speaker touching the neck again;0.9;107;0502.json
1.19;1.19;99;Speaker touching the neck again;0.9;108;0502.json
1.36;1.37;99;Speaker scratching an ear.;0.9;109;0502.json
1.37;1.37;12;Touching the neck.;0.9;110;0502.json
1.42;1.44;11;Touching jaw.;0.8;111;0502.json
1.51;1.52;99;Speaker touching the neck again;0.9;112;0502.json
2.02;2.03;99;Speaker touching the neck again;0.9;113;0502.json
2.1;2.1;99;Speaker touching the neck again;0.9;114;0502.json
2.28;2.29;99;Speaker scratching an ear.;0.9;115;0502.json
3.1;3.11;99;Speaker scratching an ear.;0.9;116;0502.json
3.26;3.28;99;Speaker scratching an ear.;0.9;117;0502.json
3.28;3.28;99;Speaker touching the hair.;0.9;118;0502.json
0;0.04;99;Looking down;0.95;119;0503.json
1.58;1.7;13;Adjusting hair;0.9;120;0503.json
2.92;2.99;13;Adjusting hair;0.85;121;0503.json
10.79;10.85;13;Adjusting hair;0.9;122;0503.json
16.25;16.59;12;Scratching neck;0.8;123;0503.json
20.17;20.24;13;Adjusting hair;0.9;124;0503.json
28.24;28.28;13;Adjusting hair;0.85;125;0503.json
48.35;48.46;13;Adjusting hair;0.8;126;0503.json
53.78;54.02;12;Scratching neck;0.85;127;0503.json
56.51;56.59;12;Touching neck;0.9;128;0503.json
56.99;57.13;12;Touching neck;0.8;129;0503.json
58.19;58.25;13;Adjusting hair;0.8;130;0503.json
100.91;100.97;29;Pressing lips;0.9;131;0503.json
145.7;145.83;8;Scratching face;0.85;132;0503.json
147.47;147.59;12;Touching neck;0.9;133;0503.json
199.28;199.32;13;Adjusting hair;0.9;134;0503.json
0.55;0.56;8;Touches upper lip with fingers.;0.85;135;0504.json
0.55;0.59;8;Touches the left side of his nose with his finger.;0.88;136;0504.json
3.36;3.38;7;Involuntary rubbing of nose and upper lip, covering lower face.;0.87;137;0504.json
3.48;3.49;9;Light touch to the back of his neck.;0.88;138;0504.json
4.02;4.08;1;Correcting head position, a sign of confidence to present a good profile to the audience and reporters.;0.78;139;0504.json
5.44;5.46;8;Cover mouth by hand;0.85;140;0504.json
6.44;6.47;7;Uncomfortable nose rub and adjustment after laughing;0.8;141;0504.json
23.24;23.26;8;Touching upper lip with fingers.;0.82;142;0504.json
0;0.4;3;Adjusts/touches the hat;0.9;143;0505.json
4.4;7.9;23;Rubbing/holding hands;0.7;144;0505.json
137.5;140.8;23;Rubbing/holding hands;0.7;145;0505.json
344.7;345.2;3;Adjusts/touches the hat;0.8;146;0505.json
538.4;538.8;8;Touches face;0.8;147;0505.json
550.2;550.5;3;Takes off/touches the hat;0.9;148;0505.json
55.658;57.068;17;Arms Folded Across Chest;0.9;149;0506.json
127.856;128.256;17;Arms Folded Across Chest;0.9;150;0506.json
183.643;184.123;4;Touching or scratching head;0.8;151;0506.json
209.428;209.768;17;Arms Folded Across Chest;0.9;152;0506.json
361.778;362.518;17;Arms Folded Across Chest;0.9;153;0506.json
521.196;521.936;4;Touching or scratching head;0.8;154;0506.json
521.326;522.796;12;Touching or scratching neck;0.9;155;0506.json
543.143;543.583;4;Touching or scratching head;0.8;156;0506.json
543.363;544.873;12;Touching or scratching neck;0.9;157;0506.json
